Country,Year,Scenario,CO2_Projected
South Africa,2038,BAU,465.1150691378548
South Africa,2038,Moderate,357.68390174927146
South Africa,2038,Aggressive,238.7631385559173
South Africa,2039,BAU,465.5313291667885
South Africa,2039,Moderate,350.84393473065
South Africa,2039,Aggressive,227.0279812290383
South Africa,2040,BAU,465.9139255106215
South Africa,2040,Moderate,344.1096298743772
South Africa,2040,Aggressive,215.85383569837538
United Kingdom,2025,BAU,341.9531436627108
United Kingdom,2025,Moderate,341.9531436627108
United Kingdom,2025,Aggressive,341.9531436627108
United Kingdom,2026,BAU,325.84853949625983
United Kingdom,2026,Moderate,319.3315687063346
United Kingdom,2026,Aggressive,309.55611252144683
United Kingdom,2027,BAU,309.82445835064107
United Kingdom,2027,Moderate,297.55540979995567
United Kingdom,2027,Aggressive,279.6165736614536
United Kingdom,2028,BAU,293.88049761075047
United Kingdom,2028,Moderate,276.5979733072574
United Kingdom,2028,Aggressive,251.96579163901714
United Kingdom,2029,BAU,278.01625667455926
United Kingdom,2029,Moderate,256.4333431190009
United Kingdom,2029,Aggressive,226.4459786630327
United Kingdom,2030,BAU,262.2313369430491
United Kingdom,2030,Moderate,237.0363590354902
United Kingdom,2030,Aggressive,202.90960974167083
United Kingdom,2031,BAU,246.5253418101964
United Kingdom,2031,Moderate,218.38259573245577
United Kingdom,2031,Aggressive,181.21877959823158
United Kingdom,2032,BAU,230.897876653008
United Kingdom,2032,Moderate,200.44834229492795
United Kingdom,2032,Aggressive,161.24459885564977
United Kingdom,2033,BAU,215.3485488216056
United Kingdom,2033,Moderate,183.21058230407039
United Kingdom,2033,Aggressive,142.86662713670327
United Kingdom,2034,BAU,199.8769676293601
United Kingdom,2034,Moderate,166.6469744623394
United Kingdom,2034,Aggressive,125.97234086594901
United Kingdom,2035,BAU,184.4827443430759
United Kingdom,2035,Moderate,150.7358337427147
United Kingdom,2035,Aggressive,110.45663369026958
United Kingdom,2036,BAU,169.1654921732231
United Kingdom,2036,Moderate,135.45611304811894
United Kingdom,2036,Aggressive,96.22134755812202
United Kingdom,2037,BAU,153.92482626421958
United Kingdom,2037,Moderate,120.78738536750666
United Kingdom,2037,Aggressive,83.17483261358981
United Kingdom,2038,BAU,138.76036368476105
United Kingdom,2038,Moderate,106.70982641545588
United Kingdom,2038,Aggressive,71.23153417055698
United Kingdom,2039,BAU,123.67172341819985
United Kingdom,2039,Moderate,93.2041977424392
United Kingdom,2039,Aggressive,60.311605135152156
United Kingdom,2040,BAU,108.65852635297142
United Kingdom,2040,Moderate,80.25183030328606
United Kingdom,2040,Aggressive,50.34054234141407
United States,2025,BAU,5292.583455935092
United States,2025,Moderate,5292.583455935092
United States,2025,Aggressive,5292.583455935092
United States,2026,BAU,5288.646128592201
United States,2026,Moderate,5182.873206020357
United States,2026,Aggressive,5024.213822162591
United States,2027,BAU,5285.49626671789
United States,2027,Moderate,5076.1906145558605
United States,2027,Aggressive,4770.160380712895
United States,2028,BAU,5282.976377218441
United States,2028,Moderate,4972.295102426978
United States,2028,Aggressive,4529.49187141766
United States,2029,BAU,5280.960465618881
United States,2029,Moderate,4870.98978770563
United States,2029,Aggressive,4301.3753052494885
United States,2030,BAU,5279.347736339233
United States,2030,Moderate,4772.112212416036
United States,2030,Aggressive,4085.0586408130735
United States,2031,BAU,5278.057552915515
United States,2031,Moderate,4675.527069011897
United States,2031,Aggressive,3879.857305400226
United States,2032,BAU,5277.025406176541
United States,2032,Moderate,4581.120494693499
United States,2032,Aggressive,3685.143653567347
United States,2033,BAU,5276.199688785361
United States,2033,Moderate,4488.79559497611
United States,2033,Aggressive,3500.3386731012
United States,2034,BAU,5275.5391148724175
United States,2034,Moderate,4398.468931054949
United States,2034,Aggressive,3324.905413127428
United States,2035,BAU,5275.010655742062
United States,2035,Moderate,4310.067762848885
United States,2035,Aggressive,3158.343734468835
United States,2036,BAU,5274.587888437779
United States,2036,Moderate,4223.527884557297
United States,2036,Aggressive,3000.1860776637054
United States,2037,BAU,5274.249674594352
United States,2037,Moderate,4138.791924807014
United States,2037,Aggressive,2849.9940165184366
United States,2038,BAU,5273.979103519609
United States,2038,Moderate,4055.80801109651
United States,2038,Aggressive,2707.3554201733314
United States,2039,BAU,5273.762646659817
United States,2039,Moderate,3974.52871990652
United States,2039,Aggressive,2571.882088570086
United States,2040,BAU,5273.589481171982
United States,2040,Moderate,3894.910250829431
United States,2040,Aggressive,2443.207758089701
